parid	luc	luc_desc	school_name	sch_type
3699238	8300	Public County School	VOL CTY SCH BRD N SMY H AG FRM	
5712761	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6737789	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3052501	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3885309	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3485289	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3598377	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3094417	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2582081	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3884787	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364422	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364465	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364848	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6458855	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2203897	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5976475	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3813588	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2914556	8300	Public County School	VOL CTY SCH BRD FRIENDSHIP	
2391758	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5770982	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6574987	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5460321	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2014512	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5310876	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2934638	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2193981	8300	Public County School	VOL CTY SCH BRD DELAND AG FARM	
2245344	8300	Public County School	VOL CTY SCH BRD EUCLID AVE SCH	
2463309	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6924686	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3561104	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2125446	8300	Public County School	VOL CTY SCH BRD WRHSE SHAPIRO	
6829250	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3077644	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2268786	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6434956	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2041480	8300	Public County School	VOL CTY SCH BRD MCINNIS ELEM	Elementary          
4084614	8300	Public County School	VOL CTY SCH BRD OSTEEN ELEM	Elementary          
2278510	8300	Public County School	VOL CTY SCH BRD WOODWARD ELEM	Elementary          
2810939	8300	Public County School	VOL CTY SCH BRD SUNRISE ELEM	Elementary          
2183284	8300	Public County School	VOL CTY SCH BRD GEO MARKS ELEM	Elementary          
2269154	8300	Public County School	VOL CTY SCH BRD STARKE ELEM	Elementary          
2211741	8300	Public County School	VOL CTY SCH BRD STARKE ELEM	Elementary          
5779700	8300	Public County School	VOL CTY SCH BRD STARKE ELEM	Elementary          
4088253	8300	Public County School	VOL CTY SCH BRD BLUE LAKE ELEM	Elementary          
3365241	8300	Public County School	VOL CTY SCH BRD PINERIDGE HIGH	High                
5999777	8300	Public County School	VOL CTY SCH BRD DELAND HIGH	High                
